City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,howrah,22.5892,88.3103,34.0,66,40,6.17,IN,1714970133
120,hami,42.8,93.45,32.93,4,100,8.09,CN,1714970133
121,bataipora,-22.2953,-53.2711,20.85,45,0,2.87,BR,1714970133
122,tura,25.5198,90.2201,33.08,42,14,2.88,IN,1714970134
123,kalmunai,7.4167,81.8167,32.38,64,50,3.11,LK,1714970134
124,atafu village,-8.5421,-172.5159,29.79,75,26,3.81,TK,1714970134
125,hilo,19.7297,-155.09,24.6,86,100,2.06,US,1714969838
126,ebolowa,2.9,11.15,21.68,100,38,0.85,CM,1714970134
127,sandnessjoen,66.0217,12.6316,8.06,49,0,3.6,NO,1714970135
128,coos bay,43.3665,-124.2179,10.59,93,100,4.12,US,1714969863
129,vadso,70.0744,29.7487,-0.51,81,96,8.09,NO,1714970135
130,whitehorse,60.7161,-135.0538,5.45,86,75,3.6,CA,1714970064
131,sao gabriel da cachoeira,-0.1303,-67.0892,23.65,99,100,0.82,BR,1714970135
132,isafjordur,66.0755,-23.124,1.04,84,20,5.68,IS,1714970135
133,fort stockton,30.894,-102.8793,22.09,81,0,7.2,US,1714970135
134,rio preto da eva,-2.6994,-59.6997,24.22,99,100,0.53,BR,1714970136
135,nogliki,51.8333,143.1667,1.3,75,35,5.36,RU,1714970136
136,hutchinson,38.0608,-97.9298,15.29,89,100,5.66,US,1714970017
137,gan,43.2333,-0.3833,9.79,94,75,3.09,FR,1714970136
138,dem'yanovo,60.3511,47.0842,0.91,77,100,5.35,RU,1714970136
139,plettenberg bay,-34.0527,23.3716,14.01,74,2,1.68,ZA,1714970136
140,lagunas,-5.2269,-75.6753,23.85,92,98,0.89,PE,1714970136
141,luganville,-15.5333,167.1667,26.52,81,88,4.61,VU,1714970137
142,vilyuysk,63.7553,121.6247,2.78,85,99,4.47,RU,1714970137
143,parkersburg,39.2667,-81.5615,18.34,94,40,0.0,US,1714970001
144,remire-montjoly,4.9167,-52.2667,27.02,94,75,1.03,GF,1714970137
145,toba,34.4833,136.85,21.0,80,100,5.39,JP,1714970137
146,cidade velha,14.9167,-23.6167,23.26,60,20,3.09,CV,1714970137
147,justo daract,-33.8594,-65.1828,11.24,97,47,2.04,AR,1714970138
148,laguna,38.421,-121.4238,14.31,62,75,5.14,US,1714970138
149,lazaro cardenas,17.9583,-102.2,23.72,83,93,1.29,MX,1714970138
150,oros,-6.2444,-38.9136,23.0,77,87,1.14,BR,1714970138
151,dingtao,35.0683,115.5625,25.94,35,47,3.25,CN,1714970138
152,inda silase,14.1031,38.2829,23.98,15,25,1.21,ET,1714970138
153,newman,37.3138,-121.0208,13.13,73,23,0.89,US,1714970139
154,ribeira grande,38.5167,-28.7,18.76,96,100,8.49,PT,1714970139
155,astrakhan,46.3497,48.0408,12.93,50,0,3.0,RU,1714970139
156,qingyuan,23.7,113.0333,30.99,65,100,1.32,CN,1714970139
157,lihue,21.9789,-159.3672,26.58,76,20,7.2,US,1714970139
158,olyokminsk,60.3736,120.4264,7.13,90,99,1.46,RU,1714970140
159,hithadhoo,-0.6,73.0833,29.8,74,45,4.87,MV,1714970140
160,murzuq,25.9155,13.9184,23.88,26,99,5.44,LY,1714970140
161,fort bragg,35.139,-79.006,21.91,90,40,2.57,US,1714970140
162,hadibu,12.65,54.0333,30.1,71,83,2.0,YE,1714970141
163,bria,6.5423,21.9863,24.07,54,3,0.81,CF,1714970141
164,las palmas,28.4204,-14.0131,17.44,82,100,6.17,ES,1714970141
165,albesti-paleologu,44.95,26.2167,13.12,90,6,1.77,RO,1714970141
166,uturoa,-16.7333,-151.4333,28.12,79,9,9.0,PF,1714970141
167,aral,40.5156,81.2636,29.44,10,36,1.65,CN,1714970141
168,puerto colombia,10.9878,-74.9547,29.05,82,100,2.78,CO,1714970141
169,ulsteinvik,62.3432,5.8487,9.31,94,77,0.45,NO,1714970142
170,portland,45.5234,-122.6762,10.34,89,93,4.02,US,1714970081
171,nova olinda do norte,-3.8881,-59.0942,23.91,99,32,0.7,BR,1714970142
172,linxia chengguanzhen,35.6003,103.2064,20.75,16,50,2.38,CN,1714970142
